ID_big_road1,ID_railroad_station_walk,build_count_1971-1995,cafe_avg_price_5000,cafe_count_3000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_sum_3000_max_price_avg,full_sq,kremlin_km,office_count_1500,price_doc,ID_big_road2,big_church_count_1000,big_church_count_5000,build_count_wood,cafe_count_1000,cafe_count_1500_price_1000,cafe_count_2000_price_2500,cafe_count_3000_price_500,cafe_count_5000_price_1000,cafe_sum_3000_min_price_avg,church_count_1500,leisure_count_5000,office_count_2000,cafe_avg_price_2000,cafe_count_3000_price_1000,cafe_count_5000_price_1500,cafe_sum_5000_max_price_avg,church_count_2000,ekder_all,max_floor,office_count_3000,office_sqm_5000,school_quota,big_church_count_3000,build_count_panel,cafe_count_2000_price_1000,cafe_count_5000,leisure_count_3000,mosque_km,office_count_5000,sub_area,trc_sqm_3000,work_all,big_market_km,bulvar_ring_km,cafe_avg_price_3000,cafe_count_2000_price_500,cafe_count_3000_price_1500,cafe_count_500,cafe_sum_2000_max_price_avg,cafe_sum_5000_min_price_avg,oil_chemistry_km,sadovoe_km,trc_sqm_2000,water_treatment_km
22,34.0,131.0,1063.85,8,7,16,1100.0,54,16.15831151,2,7600000,1,0,4,352.0,2,1,0,1,20,660.0,0,3,2,880.0,2,17,1330.77,1,22276,16.0,5,389504,9700.0,1,157.0,2,72,1,7.275293061,11,Solncevo,326350,75334,9.817322098,15.2988744,880.0,1,2,0,1100.0,796.92,24.32634576,14.12749556,115350,16.4727
1,33.0,183.0,918.47,91,8,58,1034.48,59,14.19573173,2,10200000,16,0,7,0.0,11,14,3,31,70,606.9,6,2,2,886.9,31,54,1152.71,8,38079,9.0,11,1033257,9443.0,2,131.0,18,211,1,3.3991693030000003,31,Teplyj Stan,603426,76776,0.8836844090000001,13.45572946,820.69,10,19,9,1119.05,684.24,18.58517344,12.33617124,313050,10.53732
34,89.0,59.0,1139.79,405,95,443,1303.39,34,4.588192783,26,7200000,4,1,79,1.0,20,17,20,120,438,781.25,13,67,47,1059.26,112,383,1420.86,20,15350,,166,6709008,3068.0,11,59.0,40,1706,11,1.950128982,481,Mar'ina Roshha,559836,43472,16.73489319,3.141522976,1042.32,45,82,5,1325.93,858.72,9.941700171,2.506373955,450887,14.78051
1,105.0,0.0,980.77,18,9,25,1285.71,48,15.75024402,1,5492387,22,0,5,1.0,1,1,0,3,30,778.57,1,3,2,750.0,4,22,1230.77,2,4695,21.0,7,467146,,1,0.0,1,100,1,6.132985602000001,17,Poselenie Moskovskij,312350,13996,8.281028062,14.92160159,1032.14,0,5,0,1000.0,730.77,23.58812822,13.75272697,209000,15.16405
15,84.0,87.0,884.51,45,14,22,1067.57,35,14.26776841,2,5300000,42,2,11,0.0,5,5,0,13,25,632.43,2,3,3,766.67,12,17,1112.68,2,22743,,8,349779,6839.0,8,93.0,6,85,1,2.6050971830000003,19,Losinoostrovskoe,1633828,49063,5.200966558999999,12.68349279,850.0,5,9,1,966.67,656.34,14.10229743,12.0358001,57170,22.90578
1,16.0,176.0,851.09,58,10,32,1056.6,41,13.27507165,1,6400000,48,0,9,0.0,8,7,3,17,32,624.53,1,3,3,832.05,19,21,1070.65,2,45487,22.0,4,79623,21892.0,5,328.0,15,102,0,9.685420792999999,6,Mar'ino,863608,161290,2.231584372,12.38549809,840.57,13,14,1,1051.28,631.52,2.937052239,11.1427835,773298,4.185529
16,33.0,33.0,1036.39,178,18,83,1307.02,136,9.677577472000001,5,31350000,4,0,7,0.0,17,16,5,38,113,783.04,2,6,7,947.37,58,102,1295.13,3,24269,9.0,21,1438084,8359.0,1,46.0,27,367,2,2.12262454,61,Lomonosovskoe,529895,49242,10.18363055,8.897070698,1045.03,20,49,4,1184.21,777.65,17.34957207,7.762612549,180395,10.48097
34,80.0,52.0,1164.11,1329,136,567,1421.88,41,2.698574325,98,10000000,4,4,131,0.0,111,69,88,347,565,859.05,26,86,181,1173.38,334,531,1449.6,43,18578,9.0,355,8823302,5752.0,52,22.0,143,2269,49,0.159852785,682,Meshhanskoe,2054042,33502,10.31399507,1.300124411,1140.46,142,293,19,1462.11,878.62,8.957845022,0.583053697,638904,12.87475
11,75.0,10.0,1011.54,3,0,1,1333.33,39,19.6919043,0,4819000,7,0,4,0.0,0,0,0,0,6,833.33,1,0,0,750.0,1,5,1269.23,1,3150,25.0,0,0,7377.0,0,28.0,1,13,0,9.633125176,0,Nekrasovka,36600,13331,10.01671425,18.3245964,1083.33,0,2,0,1000.0,753.85,9.587535451,17.57992934,0,1.7526080000000002
11,75.0,10.0,909.38,5,0,2,1300.0,61,20.54946417,0,6344800,55,0,2,0.0,0,0,0,1,9,760.0,2,0,0,825.0,2,4,1156.25,2,3150,17.0,0,26950,7377.0,0,28.0,0,16,0,11.89150635,1,Nekrasovka,41100,13331,10.26421846,19.27253651,1030.0,1,1,0,1000.0,662.5,8.483391369,18.41892854,0,0.387777
